p01_none_default	none	default	1783839968.025250293	1783840029.361208747
p02_a_frac_linerate_0.0001	a_frac_linerate	0.0001	1783840047.864827133	1783840109.182995210
p03_a_frac_linerate_0.00025	a_frac_linerate	0.00025	1783840127.664991108	1783840189.063325287
p04_a_frac_linerate_0.001	a_frac_linerate	0.001	1783840207.628851363	1783840268.942661018
p05_a_frac_linerate_0.0025	a_frac_linerate	0.0025	1783840287.600914201	1783840348.922483402
p06_beta_0.1	beta	0.1	1783840367.477033477	1783840428.818934780
p07_beta_0.2	beta	0.2	1783840447.300897670	1783840508.627028164
p08_beta_0.5	beta	0.5	1783840525.429333265	1783840586.742940081
p09_beta_0.7	beta	0.7	1783840605.197998487	1783840666.512817360
p10_v_periods_0.5	v_periods	0.5	1783840684.997690677	1783840746.315275943
p11_v_periods_1	v_periods	1	1783840764.873653446	1783840826.187769518
p12_v_periods_4	v_periods	4	1783840844.581731601	1783840905.922723409
p13_v_periods_8	v_periods	8	1783840924.545780006	1783840985.859610353
p14_rate_window_s_0.006	rate_window_s	0.006	1783841004.309615639	1783841065.626415397
p15_rate_window_s_0.05	rate_window_s	0.05	1783841084.093873665	1783841145.406956551
p16_rate_window_s_0.1	rate_window_s	0.1	1783841163.902181265	1783841225.227393342
p17_probe_over_grant_1.0	probe_over_grant	1.0	1783841243.933812652	1783841305.283357306
p18_probe_over_grant_1.02	probe_over_grant	1.02	1783841323.717867851	1783841385.074509133
p19_probe_over_grant_1.15	probe_over_grant	1.15	1783841403.776529809	1783841465.199448633
p20_probe_over_grant_1.3	probe_over_grant	1.3	1783841483.705776734	1783841545.018404901
p21_probe_gain_0	probe_gain	0	1783841563.485964753	1783841624.819197783
p22_probe_gain_1	probe_gain	1	1783841643.561738752	1783841704.891858687
p23_probe_gain_4	probe_gain	4	1783841721.237964548	1783841782.555163693
p24_probe_gain_100	probe_gain	100	1783841801.041979266	1783841862.359611575
p25_rdma_bud_slew_per_s_0.1	rdma_bud_slew_per_s	0.1	1783841880.918014225	1783841942.231018525
p26_rdma_bud_slew_per_s_0.7	rdma_bud_slew_per_s	0.7	1783841960.748754815	1783842022.067659578
p27_rdma_bud_slew_per_s_1.0	rdma_bud_slew_per_s	1.0	1783842040.608285041	1783842101.947577500
